0: {n: 10, s: 2, e: 4, w: 1}
117: {n: 108, s: 131, e: null, w: "?"}
118: {n: null, s: null, e: 137, w: 42}
119: {n: 134, s: 95, e: null, w: null}
120: {n: 107, s: null, e: "?", w: null}
121: {n: 128, s: null, e: 143, w: 107}
123: {n: null, s: null, e: null, w: 66}
125: {n: 165, s: null, e: 83, w: "?"}
128: {n: null, s: 121, e: 189, w: null}
130: {n: null, s: null, e: null, w: 83}
131: {n: 117, s: null, e: null, w: 138}
134: {n: 147, s: 119, e: 144, w: null}
137: {n: null, s: null, e: null, w: 118}
138: {n: null, s: "?", e: 131, w: 195}
139: {n: null, s: null, e: 65, w: 188}
143: {n: null, s: null, e: 212, w: 121}
144: {n: null, s: null, e: 155, w: 134}
145: {n: 174, s: null, e: 220, w: 57}
147: {n: 200, s: 134, e: 153, w: "?"}
149: {n: null, s: null, e: 48, w: null}
152: {n: null, s: 94, e: null, w: null}
153: {n: null, s: null, e: 329, w: 147}
154: {n: null, s: null, e: 193, w: 85}
155: {n: null, s: 187, e: 316, w: 144}
160: {n: null, s: 103, e: null, w: null}
161: {n: null, s: null, e: 74, w: null}
165: {n: 203, s: 125, e: null, w: "?"}
169: {n: null, s: 66, e: 186, w: null}
171: {n: null, s: null, e: 61, w: null}
174: {n: 192, s: 145, e: 224, w: null}
186: {n: null, s: null, e: 205, w: 169}
187: {n: 155, s: null, e: null, w: null}
188: {n: null, s: null, e: 139, w: "?"}
189: {n: null, s: null, e: 255, w: 128}
192: {n: 201, s: 174, e: 223, w: null}
193: {n: null, s: null, e: 251, w: 154}
195: {n: null, s: "?", e: 138, w: 225}
200: {n: 227, s: 147, e: 206, w: null}
201: {n: null, s: 192, e: null, w: null}
203: {n: 268, s: 165, e: 299, w: null}
205: {n: null, s: 241, e: 479, w: 186}
206: {n: 288, s: null, e: 380, w: 200}
212: {n: null, s: null, e: null, w: 143}
220: {n: null, s: null, e: null, w: 145}
223: {n: 283, s: null, e: null, w: 192}
224: {n: null, s: null, e: null, w: 174}
225: {n: null, s: 278, e: 195, w: null}
227: {n: 269, s: 200, e: null, w: null}
241: {n: 205, s: null, e: "?", w: null}
251: {n: null, s: null, e: 315, w: 193}
255: {n: null, s: null, e: null, w: 189}
268: {n: null, s: 203, e: 411, w: "?"}
269: {n: 319, s: 227, e: null, w: null}
278: {n: 225, s: null, e: null, w: null}
283: {n: 331, s: 223, e: 313, w: null}
288: {n: null, s: 206, e: null, w: null}
299: {n: null, s: null, e: 311, w: 203}
311: {n: null, s: null, e: null, w: 299}
313: {n: null, s: null, e: null, w: 283}
315: {n: null, s: null, e: null, w: 251}
316: {n: 344, s: null, e: null, w: 155}
319: {n: 359, s: 269, e: 345, w: null}
329: {n: null, s: null, e: null, w: 153}
331: {n: null, s: 283, e: 446, w: null}
344: {n: 392, s: 316, e: 390, w: null}
345: {n: null, s: 375, e: null, w: 319}
359: {n: null, s: 319, e: null, w: null}
375: {n: 345, s: null, e: "?", w: null}
380: {n: 424, s: null, e: null, w: 206}
390: {n: null, s: null, e: null, w: 344}
392: {n: null, s: 344, e: 462, w: null}
411: {n: null, s: null, e: null, w: 268}
424: {n: null, s: 380, e: 473, w: null}
446: {n: null, s: null, e: 466, w: 331}
462: {n: null, s: null, e: null, w: 392}
466: {n: null, s: 486, e: 472, w: 446},
472: {n: null, s: null, e: null, w: 466},
473: {n: null, s: null, e: 494, w: 424},
479: {n: null, s: null, e: null, w: 205},
486: {n: 466, s: null, e: null, w: null},
494: {n: null, s: null, e: null, w: 473},
